symbol,security_id,exchange,segment,instrument
MANKIND FEB FUT,59417,NSE,D,FUTSTK
MANKIND MAR FUT,51973,NSE,D,FUTSTK
MARICO APR FUT,66896,NSE,D,FUTSTK
MARICO FEB FUT,59418,NSE,D,FUTSTK
MARICO MAR FUT,51974,NSE,D,FUTSTK
MARUTI APR FUT,66897,NSE,D,FUTSTK
MARUTI FEB FUT,59419,NSE,D,FUTSTK
MARUTI MAR FUT,51975,NSE,D,FUTSTK
MAXHEALTH APR FUT,66898,NSE,D,FUTSTK
MAXHEALTH FEB FUT,59420,NSE,D,FUTSTK
MAXHEALTH MAR FUT,51976,NSE,D,FUTSTK
MAZDOCK APR FUT,66899,NSE,D,FUTSTK
MAZDOCK FEB FUT,59421,NSE,D,FUTSTK
MAZDOCK MAR FUT,51977,NSE,D,FUTSTK
MCX APR FUT,66900,NSE,D,FUTSTK
MCX FEB FUT,59422,NSE,D,FUTSTK
MCX MAR FUT,51978,NSE,D,FUTSTK
MFSL APR FUT,66901,NSE,D,FUTSTK
MFSL FEB FUT,59423,NSE,D,FUTSTK
MFSL MAR FUT,51979,NSE,D,FUTSTK
MIDCPNIFTY APR FUT,66690,NSE,D,FUTIDX
MIDCPNIFTY FEB FUT,59181,NSE,D,FUTIDX
MIDCPNIFTY MAR FUT,51713,NSE,D,FUTIDX
MOTHERSON APR FUT,66902,NSE,D,FUTSTK
MOTHERSON FEB FUT,59424,NSE,D,FUTSTK
MOTHERSON MAR FUT,51980,NSE,D,FUTSTK
MPHASIS APR FUT,66903,NSE,D,FUTSTK
MPHASIS FEB FUT,59425,NSE,D,FUTSTK
MPHASIS MAR FUT,51981,NSE,D,FUTSTK
MUTHOOTFIN APR FUT,66904,NSE,D,FUTSTK
MUTHOOTFIN FEB FUT,59426,NSE,D,FUTSTK
MUTHOOTFIN MAR FUT,51982,NSE,D,FUTSTK
NATIONALUM APR FUT,66905,NSE,D,FUTSTK
NATIONALUM FEB FUT,59427,NSE,D,FUTSTK
NATIONALUM MAR FUT,51983,NSE,D,FUTSTK
NATURALGAS APR FUT,487465,MCX,M,FUTCOM
NATURALGAS FEB FUT,467385,MCX,M,FUTCOM
NATURALGAS MAR FUT,475111,MCX,M,FUTCOM
NATURALGAS MAY FUT,488505,MCX,M,FUTCOM
NATURALGASM APR FUT,487466,MCX,M,FUTCOM
NAUKRI APR FUT,66906,NSE,D,FUTSTK
NAUKRI FEB FUT,59428,NSE,D,FUTSTK
NAUKRI MAR FUT,51984,NSE,D,FUTSTK
NBCC APR FUT,66907,NSE,D,FUTSTK
NBCC FEB FUT,59429,NSE,D,FUTSTK
NBCC MAR FUT,51985,NSE,D,FUTSTK
NESTLEIND APR FUT,66908,NSE,D,FUTSTK
NESTLEIND FEB FUT,59430,NSE,D,FUTSTK
NESTLEIND MAR FUT,51986,NSE,D,FUTSTK
NHPC APR FUT,66909,NSE,D,FUTSTK
NHPC FEB FUT,59431,NSE,D,FUTSTK
NHPC MAR FUT,51987,NSE,D,FUTSTK
NIFTY APR FUT,66691,NSE,D,FUTIDX
NIFTY FEB FUT,59182,NSE,D,FUTIDX
NIFTY MAR FUT,51714,NSE,D,FUTIDX
NMDC APR FUT,66947,NSE,D,FUTSTK
NMDC FEB FUT,59432,NSE,D,FUTSTK
NMDC MAR FUT,51988,NSE,D,FUTSTK
NTPC APR FUT,66949,NSE,D,FUTSTK
NTPC FEB FUT,59433,NSE,D,FUTSTK
NTPC MAR FUT,51989,NSE,D,FUTSTK
NUVAMA APR FUT,66950,NSE,D,FUTSTK
NUVAMA FEB FUT,59434,NSE,D,FUTSTK
NUVAMA MAR FUT,51990,NSE,D,FUTSTK
NYKAA APR FUT,66953,NSE,D,FUTSTK
NYKAA FEB FUT,59435,NSE,D,FUTSTK
NYKAA MAR FUT,51993,NSE,D,FUTSTK
OBEROIRLTY APR FUT,66954,NSE,D,FUTSTK
OBEROIRLTY FEB FUT,59436,NSE,D,FUTSTK
OBEROIRLTY MAR FUT,51994,NSE,D,FUTSTK
OFSS APR FUT,66955,NSE,D,FUTSTK
OFSS FEB FUT,59437,NSE,D,FUTSTK
OFSS MAR FUT,51995,NSE,D,FUTSTK
OIL APR FUT,66959,NSE,D,FUTSTK
OIL FEB FUT,59438,NSE,D,FUTSTK
OIL MAR FUT,51996,NSE,D,FUTSTK
ONGC APR FUT,66960,NSE,D,FUTSTK
ONGC FEB FUT,59439,NSE,D,FUTSTK
ONGC MAR FUT,51997,NSE,D,FUTSTK
PAGEIND APR FUT,66961,NSE,D,FUTSTK
PAGEIND FEB FUT,59440,NSE,D,FUTSTK
PAGEIND MAR FUT,51998,NSE,D,FUTSTK
PATANJALI APR FUT,66962,NSE,D,FUTSTK
PATANJALI FEB FUT,59441,NSE,D,FUTSTK
PATANJALI MAR FUT,51999,NSE,D,FUTSTK
PAYTM APR FUT,66963,NSE,D,FUTSTK
PAYTM FEB FUT,59442,NSE,D,FUTSTK
PAYTM MAR FUT,52000,NSE,D,FUTSTK
PERSISTENT APR FUT,66964,NSE,D,FUTSTK
PERSISTENT FEB FUT,59443,NSE,D,FUTSTK
PERSISTENT MAR FUT,52001,NSE,D,FUTSTK
PETRONET APR FUT,66965,NSE,D,FUTSTK
PETRONET FEB FUT,59444,NSE,D,FUTSTK
PETRONET MAR FUT,52002,NSE,D,FUTSTK
PFC APR FUT,66966,NSE,D,FUTSTK
PFC FEB FUT,59445,NSE,D,FUTSTK
PFC MAR FUT,52003,NSE,D,FUTSTK
PGEL APR FUT,66967,NSE,D,FUTSTK
PGEL FEB FUT,59446,NSE,D,FUTSTK
PGEL MAR FUT,52004,NSE,D,FUTSTK
PHOENIXLTD APR FUT,66968,NSE,D,FUTSTK
PHOENIXLTD FEB FUT,59447,NSE,D,FUTSTK
PHOENIXLTD MAR FUT,52005,NSE,D,FUTSTK
PIDILITIND APR FUT,66969,NSE,D,FUTSTK
PIDILITIND FEB FUT,59448,NSE,D,FUTSTK
PIDILITIND MAR FUT,52006,NSE,D,FUTSTK
PIIND APR FUT,66970,NSE,D,FUTSTK
PIIND FEB FUT,59449,NSE,D,FUTSTK
PIIND MAR FUT,52007,NSE,D,FUTSTK
PNB APR FUT,66983,NSE,D,FUTSTK
PNB FEB FUT,59450,NSE,D,FUTSTK
PNB MAR FUT,52008,NSE,D,FUTSTK
PNBHOUSING APR FUT,66984,NSE,D,FUTSTK
PNBHOUSING FEB FUT,59451,NSE,D,FUTSTK
PNBHOUSING MAR FUT,52010,NSE,D,FUTSTK
POLICYBZR APR FUT,66985,NSE,D,FUTSTK
POLICYBZR FEB FUT,59452,NSE,D,FUTSTK
POLICYBZR MAR FUT,52011,NSE,D,FUTSTK
POLYCAB APR FUT,66986,NSE,D,FUTSTK
POLYCAB FEB FUT,59453,NSE,D,FUTSTK
POLYCAB MAR FUT,52012,NSE,D,FUTSTK
POWERGRID APR FUT,66987,NSE,D,FUTSTK
POWERGRID FEB FUT,59454,NSE,D,FUTSTK
POWERGRID MAR FUT,52013,NSE,D,FUTSTK
POWERINDIA APR FUT,66988,NSE,D,FUTSTK
POWERINDIA FEB FUT,59455,NSE,D,FUTSTK
POWERINDIA MAR FUT,52014,NSE,D,FUTSTK
PPLPHARMA APR FUT,66998,NSE,D,FUTSTK
PPLPHARMA FEB FUT,59456,NSE,D,FUTSTK
PPLPHARMA MAR FUT,52015,NSE,D,FUTSTK
PREMIERENE APR FUT,66999,NSE,D,FUTSTK
PREMIERENE FEB FUT,52017,NSE,D,FUTSTK
PREMIERENE MAR FUT,52018,NSE,D,FUTSTK
PRESTIGE APR FUT,67000,NSE,D,FUTSTK
PRESTIGE FEB FUT,59457,NSE,D,FUTSTK
PRESTIGE MAR FUT,52019,NSE,D,FUTSTK
RBLBANK APR FUT,67001,NSE,D,FUTSTK
RBLBANK FEB FUT,59458,NSE,D,FUTSTK
RBLBANK MAR FUT,52020,NSE,D,FUTSTK
RECLTD APR FUT,67002,NSE,D,FUTSTK
RECLTD FEB FUT,59459,NSE,D,FUTSTK
RECLTD MAR FUT,52021,NSE,D,FUTSTK
RELIANCE APR FUT,67003,NSE,D,FUTSTK
RELIANCE FEB FUT,59460,NSE,D,FUTSTK
RELIANCE MAR FUT,52023,NSE,D,FUTSTK
RVNL APR FUT,67004,NSE,D,FUTSTK
RVNL FEB FUT,59461,NSE,D,FUTSTK
RVNL MAR FUT,52024,NSE,D,FUTSTK
SAIL APR FUT,67005,NSE,D,FUTSTK
SAIL FEB FUT,59462,NSE,D,FUTSTK
SAIL MAR FUT,52026,NSE,D,FUTSTK
SAMMAANCAP APR FUT,67006,NSE,D,FUTSTK
SAMMAANCAP FEB FUT,59463,NSE,D,FUTSTK
SAMMAANCAP MAR FUT,52027,NSE,D,FUTSTK
SBICARD APR FUT,67007,NSE,D,FUTSTK
SBICARD FEB FUT,59464,NSE,D,FUTSTK
SBICARD MAR FUT,52028,NSE,D,FUTSTK
SBILIFE APR FUT,67008,NSE,D,FUTSTK
SBILIFE FEB FUT,59465,NSE,D,FUTSTK
SBILIFE MAR FUT,52029,NSE,D,FUTSTK
SBIN APR FUT,67009,NSE,D,FUTSTK
SBIN FEB FUT,59466,NSE,D,FUTSTK
SBIN MAR FUT,52030,NSE,D,FUTSTK
SHREECEM APR FUT,67010,NSE,D,FUTSTK
SHREECEM FEB FUT,59467,NSE,D,FUTSTK
SHREECEM MAR FUT,52031,NSE,D,FUTSTK
SHRIRAMFIN APR FUT,67011,NSE,D,FUTSTK
